term,ccode,section,enrolled
1179,CS 1XX,001,2
1179,CS 2XX,001,4
1179,CS 3XX,001,1
1179,CS 4XX,001,1
1179,CS 100,081,389
1179,CS 105,001,118
1179,CS 105,002,126
1179,CS 115,001,61
1179,CS 115,002,63
1179,CS 115,003,78
1179,CS 115,004,93
1179,CS 115,005,89
1179,CS 115,006,86
1179,CS 115,007,70
1179,CS 115,008,72
1179,CS 115,009,69
1179,CS 115,010,86
1179,CS 115,011,63
1179,CS 116,001,85
1179,CS 116,002,86
1179,CS 116,003,68
1179,CS 135,001,64
1179,CS 135,002,82
1179,CS 135,003,79
1179,CS 135,004,84
1179,CS 135,005,82
1179,CS 135,006,83
1179,CS 135,007,88
1179,CS 135,008,80
1179,CS 135,009,86
1179,CS 135,010,85
1179,CS 135,011,61
1179,CS 136,001,88
1179,CS 136,002,88
1179,CS 136,003,89
1179,CS 137,001,140
1179,CS 145,001,77
1179,CS 212W,001,5
1179,CS 234,001,106
1179,CS 234,002,103
1179,CS 234,003,1
1179,CS 240,001,82
1179,CS 240,002,70
1179,CS 240,003,77
1179,CS 240,004,1
1179,CS 241,001,54
1179,CS 241,002,59
1179,CS 241,003,80
1179,CS 241,004,84
1179,CS 241,005,1
1179,CS 241E,001,86
1179,CS 245,001,47
1179,CS 245,002,49
1179,CS 245,003,78
1179,CS 245,004,81
1179,CS 245,005,80
1179,CS 245,006,80
1179,CS 245,007,66
1179,CS 245E,001,63
1179,CS 246,001,42
1179,CS 246,002,76
1179,CS 246,003,75
1179,CS 246,004,69
1179,CS 246,005,80
1179,CS 246,006,79
1179,CS 246,007,42
1179,CS 246,008,72
1179,CS 246,009,0
1179,CS 246E,001,63
1179,CS 251,001,79
1179,CS 251,002,78
1179,CS 251,003,70
1179,CS 251,004,1
1179,CS 330,001,103
1179,CS 330,002,109
1179,CS 330,003,3
1179,CS 330,004,1
1179,CS 335,001,98
1179,CS 338,001,145
1179,CS 341,001,91
1179,CS 341,002,95
1179,CS 341,003,90
1179,CS 341,004,86
1179,CS 341,005,1
1179,CS 343,001,105
1179,CS 343,002,134
1179,CS 343,003,0
1179,CS 343,004,1
1179,CS 348,001,102
1179,CS 348,002,67
1179,CS 348,003,55
1179,CS 348,004,55
1179,CS 348,005,4
1179,CS 348,006,1
1179,CS 349,001,79
1179,CS 349,002,81
1179,CS 350,001,71
1179,CS 350,002,79
1179,CS 350,003,78
1179,CS 350,004,78
1179,CS 350,005,78
1179,CS 350,006,2
1179,CS 360,001,69
1179,CS 360,002,2
1179,CS 370,001,88
1179,CS 370,002,88
1179,CS 370,003,86
1179,CS 370,004,1
1179,CS 430,001,72
1179,CS 432,001,49
1179,CS 444,001,2
1179,CS 445,001,43
1179,CS 449,001,1
1179,CS 456,001,77
1179,CS 456,002,75
1179,CS 456,003,5
1179,CS 458,001,65
1179,CS 458,002,60
1179,CS 458,003,1
1179,CS 466,001,43
1179,CS 466,002,1
1179,CS 485,001,4
1179,CS 486,001,82
1179,CS 486,002,84
1179,CS 486,003,3
1179,CS 488,001,29
1179,CS 488,002,3
1179,CS 489,001,48
1179,CS 489,002,51
1179,CS 499R,001,1
1179,CS 600,081,11
1179,CS 638,081,13
1179,CS 645,001,4
1179,CS 656,001,2
1179,CS 656,002,6
1179,CS 658,001,3
1179,CS 658,002,2
1179,CS 666,001,12
1179,CS 686,001,10
1179,CS 686,002,13
1179,CS 688,001,3
1179,CS 697,001,24
1179,CS 698,001,12
1179,CS 698,002,19
1179,CS 745,001,15
1179,CS 766,001,3
1179,CS 768,001,9
1179,CS 770,001,7
1179,CS 798,001,19
1179,CS 798,002,21
1179,CS 798,003,18
1179,CS 798,004,14
1179,CS 798,005,14
1179,CS 798,006,1
1179,CS 846,001,19
1179,CS 848,001,17
1179,CS 854,001,15
1179,CS 854,002,7
1179,CS 858,001,0
1179,CS 886,001,0
1179,CS 886,002,18
1179,CS 898,001,0
1179,CS 898,002,1
1179,CS 898,003,1
1179,MATH 97,001,9
1179,MATH 103,001,42
1179,MATH 103,081,39
1179,MATH 104,001,106
1179,MATH 106,001,81
1179,MATH 109,001,85
1179,MATH 109,002,151
1179,MATH 109,003,147
1179,MATH 114,001,135
1179,MATH 114,002,139
1179,MATH 115,001,124
1179,MATH 115,002,114
1179,MATH 115,003,135
1179,MATH 115,004,135
1179,MATH 115,005,111
1179,MATH 115,006,106
1179,MATH 115,007,115
1179,MATH 115,008,109
1179,MATH 115,009,88
1179,MATH 115,010,140
1179,MATH 115,011,1
1179,MATH 116,001,121
1179,MATH 116,002,138
1179,MATH 116,003,79
1179,MATH 116,004,110
1179,MATH 116,005,103
1179,MATH 116,006,112
1179,MATH 116,007,104
1179,MATH 116,008,89
1179,MATH 117,001,107
1179,MATH 117,002,127
1179,MATH 117,003,126
1179,MATH 117,004,111
1179,MATH 117,005,133
1179,MATH 117,006,1
1179,MATH 124,001,272
1179,MATH 124,002,221
1179,MATH 127,001,116
1179,MATH 127,002,116
1179,MATH 127,003,111
1179,MATH 127,004,116
1179,MATH 127,005,99
1179,MATH 127,006,59
1179,MATH 127,007,102
1179,MATH 127,008,110
1179,MATH 127,009,107
1179,MATH 127,010,58
1179,MATH 127,081,53
1179,MATH 127,082,0
1179,MATH 128,001,103
1179,MATH 128,081,34
1179,MATH 135,001,56
1179,MATH 135,002,60
1179,MATH 135,003,0
1179,MATH 135,004,0
1179,MATH 135,005,50
1179,MATH 135,006,50
1179,MATH 135,007,55
1179,MATH 135,008,59
1179,MATH 135,009,40
1179,MATH 135,010,59
1179,MATH 135,011,51
1179,MATH 135,012,58
1179,MATH 135,013,52
1179,MATH 135,014,0
1179,MATH 135,015,59
1179,MATH 135,016,43
1179,MATH 135,017,38
1179,MATH 135,018,59
1179,MATH 135,019,59
